Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas
2016,71000,40.900,Loja,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2016,98000,23.900,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2022,39000,37.900,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
2008,224000,10.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2013,151000,26.500,Riobamba,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2019,76158,14.900,Quito,Negociable,USED,DongFeng,Crossover,AX7,,,,,,,,,,,,,,,,,
2020,32000,17.900,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2017,218000,22.000,Guayaquil,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2018,22000,25.900,Quito,Negociable,USED,Ford,Todoterreno,Escape S Plus,,,,,,,,,,,,,,,,,
2019,50214,13.500,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
2012,293930,18.500,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2017,125178,19.800,Quito,Negociable,USED,JAC,Van Pasajeros,HFC6591KH,,,,,,,,,,,,,,,,,
2021,35000,16.900,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
2014,118000,14.800,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
2018,45600,34.600,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,
2020,61000,18.600,Quito,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,,,,
1986,230875,7.900,Quito,Fijo,USED,Mercedes Benz,Sedán,E 190,,,,,,,,,,,,,,,,,
2019,28000,28.000,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2019,32000,16.700,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,
2018,50000,29.400,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2020,98000,12.400,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2019,48000,52.900,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 AMG,,,,,,,,,,,,,,,,,
2013,128748,18.900,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,
2013,80000,18.900,Quito,Negociable,USED,Ford,Sedán,Edge,,,,,,,,,,,,,,,,,
2019,27000,8.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2019,27000,8.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
2019,27000,8.900,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Q5,,,,,,,,,,,,,,,,,
1990,100000,10.000,Quito,Negociable,USED,Suzuki,Otro,Forsa,,,,,,,,,,,,,,,,,
1979,300,11.900,Quito,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Scirocco,,,,,,,,,,,,,,,,,
2007,300,35.000,Quito,Negociable,USED,Peugeot,Hatchback (3 Puertas),206,,,,,,,,,,,,,,,,,
2022,9400,16.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),JOY,,,,,,,,,,,,,,,,,
2005,100000,6.400,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,
2016,9000,145.000,Quito,Negociable,USED,Chevrolet,Coupé,Corvetee Z06,,,,,,,,,,,,,,,,,
2016,117000,47.900,Quito,Negociable,USED,BMW,Coupé,428i,,,,,,,,,,,,,,,,,
1987,100000,27.000,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,#1721128,28000 Kms,Eléctricos,Automática,Gasolina,,,,,,,,,,,,
1987,100000,27.000,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
2008,46000,64.000,Quito,Negociable,USED,BMW,Coupé,M3,,,,,,,,,,,,,,,,,
2008,80000,75.000,Quito,Negociable,USED,BMW,Sedán,M5,,,,,,,,,,,,,,,,,
2018,0,36.500,Quito,Negociable,USED,Can-Am,Buggy,Maverick X3,,,,,,,,,,,,,,,,,
2019,15000,123.000,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
2023,70,25.490,Quito,Negociable,USED,Jetour,Coupé,X70,,,,,,,,,,,,,,,,,
2023,0,25.490,Quito,Fijo,NEW,Jetour,Crossover,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
2009,296000,17.900,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,
2013,154000,16.900,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2013,173000,18.900,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,
2018,102146,16.900,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2014,104703,21.900,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2022,1527,139.900,Cuenca,Negociable,USED,Jeep,Camioneta Cabina Simple,Gladiator,,,,,,,,,,,,,,,,,
2019,50833,44.900,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2018,117311,11.500,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,
2019,36000,13.900,Quito,Negociable,USED,Chery,Todoterreno,TIGGO 2 PRO,,,,,,,,,,,,,,,,,
2014,210870,11.900,Quito,Fijo,USED,Fiat,Camioneta Cabina y Media,Strada,,,,,,,,,,,,,,,,,
2018,60703,59.990,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,,,,,,,,,,,,,,,,,
2015,235621,10.900,Quito,Fijo,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,
2002,183290,9.900,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
2012,170000,9.900,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2006,242000,19.600,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery,,,,,,,,,,,,,,,,,
2006,242000,19.600,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery II,,,,,,,,,,,,,,,,,
2019,59000,14.900,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
2019,59000,14.900,Quito,Negociable,USED,Chery,Todoterreno,Tiggo,,,,,,,,,,,,,,,,,
2008,40000,12.600,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2008,40000,12.900,Quito,Negociable,USED,Nissan,Sedán,Sentra,,,,,,,,,,,,,,,,,
2019,62000,13.400,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
2018,127000,10.600,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,
2018,126000,10.600,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,
2014,96000,10.900,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia A5,,,,,,,,,,,,,,,,,
2018,115000,10.600,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2011,136000,11.900,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
2010,166000,42.600,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,,,,,,,,,,,,,,,,,
2018,60000,14.600,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,#1724735,60703 Kms,Eléctricos,Automática,Gasolina,Climatizador Bi-Zona,4 x 4,Blanco,5,Electrónica,2000,Cuero,Pichincha,,,,
2017,90000,16.400,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,
2019,73000,29.900,Quito,Negociable,USED,Peugeot,Todoterreno,3008 Allure,,,,,,,,,,,,,,,,,
2019,59000,14.900,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Tiggo 3,,,,,,,,,,,,,,,,,
2008,40000,12.600,Quito,Negociable,USED,Nissan,Sedán,Almera,,,,,,,,,,,,,,,,,
2018,60000,14.600,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,
2023,0,31.990,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
2023,0,13.990,Quito,Fijo,NEW,Jetour,Van,Karry,,,,,,,,,,,,,,,,,
2023,0,36.490,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
2021,40000,15.900,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
2021,40000,15.900,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Dynamic,,,,,,,,,,,,,,,,,
